date,time,ip,urlrequested,agent,referrer,search,nation,os,browser,searchengine,spider,feed
"20191119","15:48:59","92.108.21.128","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36","","","nl","Windows 10.0","Chrome 78","","",""
"20191119","15:49:05","92.108.21.128","/contact-opnemen-met-veilig-gehecht/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36","https://www.veilig-gehecht.nl/","","nl","Windows 10.0","Chrome 78","","",""
"20191119","16:08:25","82.75.80.79","","Mozilla/5.0 (Linux; Android 10; GM1903) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.96 Mobile Safari/537.36","","","nl","Android Linux 1","Chrome 78","","",""
"20191119","16:09:12","82.75.80.79","/contact-opnemen-met-veilig-gehecht/","Mozilla/5.0 (Linux; Android 10; GM1903) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.96 Mobile Safari/537.36","https://www.veilig-gehecht.nl/","","nl","Android Linux 1","Chrome 78","","",""
"20191119","16:30:49","66.249.64.88","/robots.txt","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191119","16:30:50","66.249.64.84","/sitemap_index.xml","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191119","18:22:29","66.249.64.77","/robots.txt","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191119","18:22:32","107.178.206.14","/robots.txt","RyteBot/1.0.0 (+https://bot.ryte.com/)","","","","","","","",""
"20191119","18:22:32","107.178.206.14","","RyteBot/1.0.0 (+https://bot.ryte.com/)","","","","","","","",""
"20191119","18:22:33","66.249.64.73","","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191119","18:40:30","66.249.64.75","/sitemap_index.xml","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191119","21:03:28","66.249.64.86","","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191120","07:50:32","66.249.64.73","/category-sitemap.xml","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191120","10:24:33","66.249.64.86","/post-sitemap.xml","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191120","16:56:47","94.198.159.219","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:56.0)","","","nl","Windows 10.0","Mozilla","","",""
"20191120","16:56:47","94.198.159.219","/contact-opnemen-met-veilig-gehecht/","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:56.0)","","","nl","Windows 10.0","Mozilla","","",""
"20191120","16:56:48","94.198.159.219","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:56.0)","","","nl","Windows 10.0","Mozilla","","",""
"20191120","23:13:21","66.249.64.77","/robots.txt","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191120","23:13:28","66.249.64.75","/sitemap_index.xml","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191121","00:41:10","66.249.64.75","/author-sitemap.xml","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191121","01:13:51","66.249.64.73","","Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191121","02:21:08","66.249.64.75","/hechting-gehecht-zijn-hechtingsstijlen/","Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191121","03:50:37","66.249.64.84","/robots.txt","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191121","03:50:37","66.249.64.88","","Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191121","05:05:45","66.249.64.75","","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191121","06:12:45","66.249.64.86","/category/geen-categorie/","Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191121","06:58:01","66.249.64.75","/2019/11/03/onvoldoende-veilige-hechting-en-relaties/","Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191121","11:57:58","66.249.64.84","","Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191121","14:41:21","66.249.64.75","","Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191121","18:47:14","94.198.159.219","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)","","","nl","Windows 10.0","Safari","","",""
"20191121","18:47:14","94.198.159.219","/contact-opnemen-met-veilig-gehecht/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)","","","nl","Windows 10.0","Safari","","",""
"20191121","18:47:15","94.198.159.219","","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0)","","","nl","Windows 7","Mozilla","","",""
"20191121","19:16:41","66.249.64.75","/2019/11/03/onvoldoende-veilige-hechting-en-relaties/","Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191121","20:58:43","66.249.64.86","/author-sitemap.xml","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191121","22:41:45","66.249.64.88","/category-sitemap.xml","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191121","23:54:10","66.249.64.77","/robots.txt","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191121","23:54:10","66.249.64.77","","Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
